GEO_ID,FIPS,Census Tract,Parish,Total Population,Median Home Value,% Medicaid/Public Insurance,Median Family Income,Poverty Rate (%),Labor Force Participation (%),Unemployment Rate (%),HS Degree or More (%),Bachelor's Degree or More (%),Broadband Internet (%),Disability Population (%)
1400000US22001960101,22001960101,9601.01,Acadia Parish,2752,121700,100,45291,31.5,47.9,2.4,69.4,9.3,54.1,17.3
1400000US22001960102,22001960102,9601.02,Acadia Parish,2535,105000,100,36891,36.7,56.3,19.1,86.4,8.4,69.1,16.7
1400000US22001960201,22001960201,9602.01,Acadia Parish,3594,219100,100,63162,21,63.2,8,82.2,10.2,42.6,18.9
1400000US22001960202,22001960202,9602.02,Acadia Parish,2484,249000,100,93750,11.7,55.4,2.3,87.7,22.2,51.9,16.5
1400000US22001960300,22001960300,9603,Acadia Parish,3429,167300,100,83851,14.8,58.9,2.9,80.4,10.6,42.4,17.1
1400000US22001960401,22001960401,9604.01,Acadia Parish,2186,206000,100,69036,18.4,67.1,2.7,73.5,14.7,46.9,16.8
1400000US22001960402,22001960402,9604.02,Acadia Parish,2102,172000,100,55750,26,62.7,4.7,84.7,14.6,58.1,17.8
1400000US22001960403,22001960403,9604.03,Acadia Parish,2437,208800,100,-,15.6,52.2,8.7,89.7,7.9,23.8,13.3
1400000US22001960501,22001960501,9605.01,Acadia Parish,2887,95400,100,42450,19.2,59.2,8.8,92.8,11.6,38.7,27.5
1400000US22001960502,22001960502,9605.02,Acadia Parish,2516,156800,100,56958,17.5,56.3,13,82.7,5.8,36,14.4
1400000US22001960503,22001960503,9605.03,Acadia Parish,1337,221900,100,85885,15.3,54.9,3.2,90.8,28.2,58.2,17.4
1400000US22001960601,22001960601,9606.01,Acadia Parish,1940,-,100,45444,18.1,65.1,0,83.7,7.9,45.2,15.9
1400000US22001960602,22001960602,9606.02,Acadia Parish,3927,165500,100,59148,20.1,61.6,4.3,83.5,9,80.4,18.1
1400000US22001960700,22001960700,9607,Acadia Parish,3412,92600,100,25506,41.6,50.9,11.6,75.2,6.8,65.4,18.9
1400000US22001960801,22001960801,9608.01,Acadia Parish,3429,148000,100,36354,40.4,55.9,13,83,22.4,60.2,25.4
1400000US22001960802,22001960802,9608.02,Acadia Parish,975,269900,100,108298,14.1,61.6,0,80.1,32.6,83.7,10.4
1400000US22001960901,22001960901,9609.01,Acadia Parish,3729,265300,100,38054,31,37.2,9.2,83.2,34.4,71.9,17.8
1400000US22001960902,22001960902,9609.02,Acadia Parish,955,225000,-,18021,59.3,56.5,8.5,83.7,15.4,55.8,24.8
