GEOID,,State,Parish,Region,Geography,Current OZ 1.0 tract (expires Dec. 2028),Eligibility for OZ 2.0 Designation,Eligible for Reduced Threshold for Substantial Improvement,,NMTC,Deep Distress,Population,Population 18-24,Population 65+,Median Household Income,Poverty %,Unemployment %,% of tract with Broadband Accessibility
22001960101,22001960100,LA,Acadia,Acadiana,Census Tract 9601.01; Acadia Parish; Louisiana,yes,ELIGIBLE,SUBSTANTIAL,,YES,NO,2654,476,703,62321,26.3,2.4,54.1
22001960102,22001960100,LA,Acadia,Acadiana,Census Tract 9601.02; Acadia Parish; Louisiana,yes,ELIGIBLE,SUBSTANTIAL,,YES,YES,2535,180,329,40227,29.7,19.1,69.1
22001960201,22001960200,LA,Acadia,Acadiana,Census Tract 9602.01; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,3594,204,512,64779,15.7,8,42.6
22001960202,22001960200,LA,Acadia,Acadiana,Census Tract 9602.02; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,2484,184,376,96738,11,2.3,51.9
22001960300,22001960300,LA,Acadia,Acadiana,Census Tract 9603; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,NO,3429,219,506,106314,7.6,2.9,42.4
22001960401,22001960400,LA,Acadia,Acadiana,Census Tract 9604.01; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,2160,151,411,81029,16.1,2.7,46.9
22001960402,22001960400,LA,Acadia,Acadiana,Census Tract 9604.02; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,NO,2097,211,233,66786,24.2,4.7,58.1
22001960403,22001960400,LA,Acadia,Acadiana,Census Tract 9604.03; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,2437,222,513,93107,15.5,8.7,23.8
22001960501,22001960500,LA,Acadia,Acadiana,Census Tract 9605.01; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,2844,207,582,90500,19.7,8.8,38.7
22001960502,22001960500,LA,Acadia,Acadiana,Census Tract 9605.02; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,YES,2487,174,242,69426,18.8,13,36
22001960503,22001960500,LA,Acadia,Acadiana,Census Tract 9605.03; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,1284,113,120,99219,16.3,3.2,58.2
22001960601,22001960600,LA,Acadia,Acadiana,Census Tract 9606.01; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,NO,1940,198,327,55585,22.6,0,45.2
22001960602,22001960600,LA,Acadia,Acadiana,Census Tract 9606.02; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,NO,3799,334,509,67260,15.4,4.3,80.4
22001960700,22001960700,LA,Acadia,Acadiana,Census Tract 9607; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,YES,3368,442,506,30966,41.1,11.6,65.4
22001960801,22001960800,LA,Acadia,Acadiana,Census Tract 9608.01; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,YES,3303,225,575,48491,51,13,60.2
22001960802,22001960800,LA,Acadia,Acadiana,Census Tract 9608.02; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,NO,NO,875,29,250,108989,11.8,0,83.7
22001960901,22001960900,LA,Acadia,Acadiana,Census Tract 9609.01; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,NO,3646,133,643,39216,39.1,9.2,71.9
22001960902,22001960900,LA,Acadia,Acadiana,Census Tract 9609.02; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,YES,912,49,41,33654,58.8,8.5,55.8
22001961000,22001961000,LA,Acadia,Acadiana,Census Tract 9610; Acadia Parish; Louisiana,no,ELIGIBLE,#N/A,,YES,YES,4004,330,738,32727,49.3,21.6,45.5
22001961100,22001961100,LA,Acadia,Acadiana,Census Tract 9611; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,NO,3251,232,762,97120,19.8,6.2,36.9
22001961200,22001961200,LA,Acadia,Acadiana,Census Tract 9612; Acadia Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,NO,3031,238,512,65156,7.4,4.1,58.4
22003950100,22003950100,LA,Allen,Southwest,Census Tract 9501; Allen Parish; Louisiana,no,ELIGIBLE,#N/A,,NO,NO,4382,233,593,77891,20.7,3,43.2
22003950201,22003950200,LA,Allen,Southwest,Census Tract 9502.01; Allen Parish; Louisiana,no,ELIGIBLE,#N/A,,NO,NO,1961,243,379,71055,23.9,14.4,49.2
22003950202,22003950200,LA,Allen,Southwest,Census Tract 9502.02; Allen Parish; Louisiana,no,INELIGIBLE,#N/A,,YES,NO,9,6,81,-,0,0,100
