City-Town,Parish,Region
Abbeville,Vermilion,Acadiana
Abington,Red River,Northwest
Abita Springs,St. Tammany,Southeast
Acadia,Acadia,Acadiana
Acme,Concordia,Central
Acy,Ascension,Capital
Ada,Bienville,Northwest
Addis,West Baton Rouge,Capital
Adeline,St. Mary,Bayou
Adner,Bossier,Northwest
Afton,Madison,Northeast
Aimwell,Catahoula,Central
Ajax,Natchitoches,Northwest
Akers,Tangipahoa,Southeast
Albany,Livingston,Capital
Alberta,Bienville,Northwest
Alco,Vernon,Central
Alden Bridge,Bossier,Northwest
Alexandria,Rapides,Central
Alfalfa,Rapides,Central
Alford,West Baton Rouge,Capital
Algiers,Orleans,Southeast
Alice,West Feliciana,Capital
Allen,Natchitoches,Northwest
Alliance,Plaquemines,Southeast
Alligator Bayou,Madison,Northeast
Alluvial City,St. Bernard,Southeast
Almadane,Vernon,Central
Aloha,Grant,Central
Alpha,Red River,Northwest
Alsatin,East Carroll,Northeast
Alsen,East Baton Rouge,Capital
Alto,Richland,Northeast
Alton,St. Tammany,Southeast
Altoona,Madison,Northeast
Ama,St. Charles,Southeast
Amelia,St. Mary,Bayou
Amite,Tangipahoa,Southeast
Anabel,Ouachita,Northeast
Anacoco,Vernon,Central
Anchorage,West Baton Rouge,Capital
Andrepont,St. Landry,Acadiana
Andrew,Vermilion,Acadiana
Angie,Washington,Southeast
Angola,West Feliciana,Capital
Ansley,Jackson,Northwest
Antioch,Claiborne,Northwest
Antonia,Grant,Central
Antrium,Bossier,Northwest
Arabi,St. Bernard,Southeast
Arbroth,West Baton Rouge,Capital
Arcadia,Bienville,Northwest
Archibald,Richland,Northeast
Archie,Catahoula,Central
Arcola,Tangipahoa,Southeast
Argo,Catahoula,Central
Ariel,Lafourche,Bayou
Arizona,Claiborne,Northwest
Arkana,Bossier,Northwest
Arlington,East Baton Rouge,Capital
Armagh,Concordia,Central
Armide,St. Landry,Acadiana
Armistead,Red River,Northwest
Arnaudville,St. Landry,Acadiana
Ashland,Concordia,Central
Ashland,Tensas,Northeast
Ashland,Terrebonne,Bayou
Ashland,Natchitoches,Northwest
Ashly,Madison,Northeast
Ashton,St. Mary,Bayou
